,Empresa,Data Emissão,Data Competência,Número Nota Fiscal,Série,CNPJ Prestador,Código Serviço Municipal,Filial,Tipo Tributação,Benefício Fiscal,Tipo NF,Optante Simples,Fornecedor,Valor Serviço,Valor Dedução,Aliquota ISS,ISS Retido,Analise ISS,Município Prestador,INSS Retido 11%,IRRF (1708),IRRF (8045),PCC (5952),PIS (5979),COFINS (5960),Líquido,Comentario,Cei,filial_formatada,Município,check_filial_prest_mun
0,Grupo Rtsc,2021-01-02,,4522,,3933877000123,2660,24.582.368/0001-73,,,,N,PASQUALI SOLUTION - SOLUCOES EM INFORMATICA LTDA,11280.0,,0.0,0.0,Regra Encontrada: SIM | Cód: 2660 | Cód.LC: 1.01 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,169.2,0,524.52,0,0,10259.16,"Servicos de Desenvolvimento Web realizados em dezembro de 2020 Profissional: Ymayro da Cunha Ferreira Retencoes na Fonte: PIS 0,65 % COFINS 3,0 % IRPJ 1,5 % CSLL 1,0 % Valores aproximados dos tributos: Aliquota FEDERAL: 13,45 % Aliquota MUNICIPAL: 3,9 % DADOS PARA PAGAMENTO: 341 - ITAU AGENCIA: 0452 CONTA CORRENTE: 79907 - 5 VALOR LIQUIDO: R$ 10.586,28 VENCIMENTO DESTA COBRANCA: 11/01/2021 | Análise e desenvolvimento de sistemas",,24582368000173,São Paulo,True
1,Grupo Rtsc,2021-01-04,,214582,,5555382000133,5762,24.582.368/0001-73,,,,N,AOVS SISTEMAS DE INFORMATICA S.A.,50.0,,0.0,0.0,Regra Encontrada: SIM | Cód: 5762 | Cód.LC: 8.02 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: NÃO | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,5.5,0.75,0,2.32,0,0,38.93,"Treinamento Alura. | Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza.",,24582368000173,São Paulo,True
2,Grupo Rtsc,2021-01-04,,15831,,22036348000171,2800,24.582.368/0001-73,,,,N,NOVA VIDA TECNOLOGIA DA INFORMACAO LTDA.,93.75,,0.0,0.0,Regra Encontrada: SIM | Cód: 2800 | Cód.LC: 1.05 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,0.0,0,0.0,0,0,91.03,"SERVICOS DE UTILIZACAO DE SOFTWARE = R$93,75 Lei 12741 de 08/12/2012 total aproximado de tributos federais e municipais: 14,23% (R$13,34). DT. VENCIMENTO:10/01/2021 | Licenciamento ou cessão de direito de uso de programas de computação, inclusive distribuição.",,24582368000173,São Paulo,True
3,Grupo Rtsc,2021-01-07,,42005,,14998747000195,2919,24.582.368/0001-73,,,,N,TKTL INFORMATICA LTDA,1776.04,,0.0,0.0,Regra Encontrada: SIM | Cód: 2919 | Cód.LC: 1.07 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,26.64,0,82.58,0,0,1615.31,"Retencoes COFINS 3,00 R$ 53,28; CSLL 1,00 R$ 17,76; PIS 0,65 R$ 11,54; IRRF 1,50 R$ 26,64; Servicos em TI GCP Servicos em TI JF Servicos em TI AWS Servicos em TI GSB11 Axiomas.tEch | Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.",,24582368000173,São Paulo,True
4,Grupo Rtsc,2021-01-09,,2345795,,61600839000155,2097,24.582.368/0001-73,,,,N,CENTRO DE INTEGRACAO EMPRESA ESCOLA CIE E,128.0,,0.0,0.0,Regra Encontrada: SIM | Cód: 2097 | Cód.LC: 27.01 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,1.92,0,5.95,0,0,113.73,"CONTRIBUICAO INSTITUCIONAL DESTINADA A MANUTENCAO DO CIEE - ESTAGIO - COMPETENCIA: 01/2021, REFERENTE AO BOLETO BANCARIO/NOSSO NUMERO: 009-00007569965-7 LEGISLACAO: IMUNIDADE TRIBUTARIA Decreto n. 9.580/2018 - Artigo n. 181; IRPJ - Instrucao Normativa RFB n. 1700/2017 - Artigo n. 10; CSLL - Instrucao Normativa RFB n. 1700/2017 - Artigo n. 12; PIS/PASEP - Instrucao Normativa RFB n. 1911/2019 - Artigo n. 24; COFINS - Instrucao Normativa RFB n. 1911/2019 - Artigo n. 24. SERVICOS DE ASSISTENCIA SOCIAL | Serviços de assistência social",,24582368000173,São Paulo,True
5,Grupo Rtsc,2021-01-12,,440947,,44315919000140,5711,24.582.368/0001-73,,,,N,FUNDACAO INSTITUTO DE ADMINISTRACAO,1281.71,,0.0,0.0,Regra Encontrada: SIM | Cód: 5711 | Cód.LC: 8.01 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: NÃO | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,19.23,0,59.6,0,0,1138.79,"PRESTACAO DE SERVICOS DE TREINAMENTO DO CURSO Pos-Graduacao Lato Sensu Especializacao em Analise de Big Data - TURMA 16 ALUNO: Marcello Ygor Souza da Silva JAN/2021 (1281.71) | Ensino regular pré-escolar, fundamental e médio, inclusive cursos profissionalizantes.",,24582368000173,São Paulo,True
6,Grupo Rtsc,2021-01-13,,2845,,8282137000198,3476,24.582.368/0001-73,,,,S,METROPOLITANA ASSESSORIA CONTABIL S/S,360.0,,0.0,0.0,Regra Encontrada: SIM | Cód: 3476 | Cód.LC: 17.19 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,0.0,0,0.0,0,0,342.0,"SERVIÇOS DE ASSESSORIA CONTÁBIL - DILIGÊNCIA JUCESP - ATA DE REUNIÃO DE 08/12/2020 | Contabilidade, inclusive serviços técnicos e auxiliares",,24582368000173,São Paulo,True
7,Grupo Rtsc,2021-01-14,,28,,15666463000164,7285,24.582.368/0001-73,,,,N,FABIANO ALVES FIGUEIREDO DE ARAUJO,1071.48,,0.0,0.0,Regra Encontrada: SIM | Cód: 7285 | Cód.LC: 14.06 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,117.86,0.0,0,0.0,0,0,900.05,"Nota referente ao sinal para instalação de Controle de Acesso. Valor aproximado dos tributos = R$64,28. Aliquota de 6% do anexo II, conforme lei nº12.741/2012 de 12 de novembro de 2012. | Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido",,24582368000173,São Paulo,True
8,Grupo Rtsc,2021-01-20,,29575,,32223020000118,3205,24.582.368/0001-73,,,,N,FLASH TECNOLOGIA E PAGAMENTOS LTDA,3108.0,,0.0,0.0,Regra Encontrada: SIM | Cód: 3205 | Cód.LC: 17.12 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: SIM | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,46.62,0,144.52,0,0,2916.86,"Valor Total - R$ 3.108,00 Compra de Creditos na Plataforma Flash - R$ 3.090,00 Valor total de servicos Flash (6 contas) - R$ 18,00 Data da Compra: 20/01/2021 Compra de beneficios: Vale Refeicao R$ 3.090,00 (6 depositos), e Custo total de contas: R$ 18,00 Contrato 24582368000173-8-32327 Autorizacao de Regime especial - SEI 6017.2019/0041453-7 O ISS incide apenas sobre o valor de servicos Flash indicado acima Local da prestacao de servicos: Sao Paulo - SP | Administração de benefícios relativos a planos de assistência à saúde.",,24582368000173,São Paulo,True
9,Grupo Rtsc,2021-01-28,,442772,,44315919000140,5711,24.582.368/0001-73,,,,N,FUNDACAO INSTITUTO DE ADMINISTRACAO,1281.71,,0.0,0.0,Regra Encontrada: SIM | Cód: 5711 | Cód.LC: 8.01 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: NÃO | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,19.23,0,59.6,0,0,1138.79,"PRESTACAO DE SERVICOS DE TREINAMENTO DO CURSO Pos-Graduacao Lato Sensu Especializacao em Analise de Big Data - TURMA 16 ALUNO: Marcello Ygor Souza da Silva FEV/2021 (1281.71) | Ensino regular pré-escolar, fundamental e médio, inclusive cursos profissionalizantes.",,24582368000173,São Paulo,True
